graph_name,nodes,edges,radius,diameter,density,avg_cl_coeff,avg_degree,best_score,best_algorithm
rp_0.2_0.8_9_10_90,346,16971,2,2,0.2843427996984167,0.33417257099310066,98.09826589595376,1.0,Spectral
rp_0.2_0.8_9_10_100,519,37980,2,2,0.2825451380364675,0.32705559291602193,146.35838150289018,0.997478410912,Agglomerative
rp_0.3_0.5_4_10_90,260,11766,2,2,0.34945054945054943,0.35457403554244626,90.50769230769231,0.837666065607,Spectral
rp_0.3_0.5_5_10_90,344,20092,2,2,0.34056546206522476,0.3441268954452456,116.81395348837209,0.75450022027,Spectral
rp_0.3_0.6_3_10_40,59,689,2,2,0.4026884862653419,0.40823106960840955,23.35593220338983,0.799118149362,Spectral
rp_0.3_0.6_3_10_60,72,1064,2,2,0.4162754303599374,0.4297958227238876,29.555555555555557,0.748147024721,Spectral
rp_0.3_0.6_3_10_70,144,4309,2,2,0.4185120435120435,0.4353275400837294,59.84722222222222,1.0,K-means
rp_0.3_0.6_3_10_80,192,7398,2,2,0.40346858638743455,0.41655181933784213,77.0625,1.0,K-means
rp_0.3_0.6_3_10_90,211,8868,2,2,0.4002708192281652,0.4123113923468303,84.05687203791469,1.0,K-means
rp_0.3_0.6_3_10_100,197,8306,2,2,0.430228944369626,0.44752571619585574,84.3248730964467,0.982197417615,K-means
rp_0.3_0.6_4_10_50,106,2195,2,2,0.394429469901168,0.41360504207898957,41.41509433962264,0.755006521639,Spectral
rp_0.3_0.6_4_10_60,128,3220,2,2,0.39616141732283466,0.41291386384316664,50.3125,0.747295207529,K-means
rp_0.3_0.6_4_10_90,258,12580,2,2,0.3794528398636624,0.39046014673839474,97.51937984496124,1.0,K-means
rp_0.3_0.6_4_10_100,206,8166,2,2,0.38673928486857684,0.39850521210985734,79.28155339805825,0.940659682214,K-means
rp_0.3_0.6_5_10_50,139,3652,2,2,0.38077364195600044,0.39352099967660936,52.54676258992806,0.709496153645,Spectral
rp_0.3_0.6_5_10_60,190,6650,2,2,0.37037037037037035,0.37738229028835973,70.0,0.823713928788,Spectral
rp_0.3_0.6_5_10_70,184,6473,2,2,0.3844737467331908,0.3993732561370421,70.3586956521739,0.808753132944,K-means
rp_0.3_0.6_5_10_80,232,9784,2,2,0.3651291237498134,0.37283881303378597,84.34482758620689,0.989252477836,K-means
rp_0.3_0.6_5_10_90,332,19737,2,2,0.3592072216357879,0.366443810268499,118.89759036144578,1.0,K-means
rp_0.3_0.6_5_10_100,284,14530,2,2,0.36156870551933507,0.3700901855028051,102.32394366197182,0.924055840587,Spectral
rp_0.3_0.6_6_10_60,220,8518,2,2,0.353590701535907,0.35972914661802236,77.43636363636364,0.82157564437,Spectral
rp_0.3_0.6_6_10_70,303,16203,2,2,0.35414071208445347,0.36069682075130527,106.95049504950495,0.891212832058,Spectral
rp_0.3_0.6_6_10_80,267,12813,2,2,0.36081777477401367,0.3688439859460871,95.97752808988764,0.720207513292,Spectral
rp_0.3_0.6_6_10_90,435,33084,2,2,0.3504846655013507,0.356034909647863,152.1103448275862,0.989070734129,Spectral
rp_0.3_0.6_6_10_100,277,13895,2,2,0.3634960498090305,0.3723354086909893,100.32490974729242,0.789957070595,K-means
rp_0.3_0.6_7_10_70,327,18559,2,2,0.34819234160709933,0.3531490593495078,113.51070336391437,0.828743268179,Spectral
rp_0.3_0.6_7_10_80,321,17791,2,2,0.3463979750778816,0.3521679320122619,110.84735202492212,0.796759136998,Spectral
rp_0.3_0.6_7_10_90,429,31686,2,2,0.34514084046794324,0.3498080693870546,147.72027972027973,0.879211669894,Spectral
rp_0.3_0.6_7_10_100,539,49909,2,2,0.3442213654640633,0.34916089977356624,185.19109461966605,0.988040978246,Spectral
rp_0.3_0.6_8_10_70,357,21549,2,2,0.33910867717873666,0.34290124839705605,120.72268907563026,0.753190791214,Spectral
rp_0.3_0.6_8_10_80,416,29362,2,2,0.34015291936978687,0.344289719082214,141.16346153846155,0.89073674963,Spectral
rp_0.3_0.6_9_10_70,366,22433,2,2,0.3358484916535669,0.33921226732326715,122.5846994535519,0.791399810834,Spectral
rp_0.3_0.6_9_10_80,451,34112,2,2,0.33616161616161616,0.3408368750692323,151.27272727272728,0.759579673784,Spectral
rp_0.3_0.6_9_10_90,476,37788,2,2,0.3342591773551526,0.33806425810261764,158.7731092436975,0.81941522386,Spectral
rp_0.3_0.6_9_10_100,536,48380,2,2,0.33742502441065697,0.3415742829248366,180.52238805970148,0.790632259071,Spectral
rp_0.3_0.7_3_10_20,52,591,2,2,0.4457013574660634,0.465446154624446,22.73076923076923,0.940559259318,K-means
rp_0.3_0.7_3_10_30,38,317,2,2,0.45092460881934565,0.46959299051933884,16.68421052631579,1.0,K-means
rp_0.3_0.7_3_10_40,67,958,2,2,0.433288104929896,0.4608132300098806,28.597014925373134,0.959384030779,K-means
rp_0.3_0.7_3_10_50,89,1803,2,2,0.4604187946884576,0.49310606225477893,40.51685393258427,0.968603058543,K-means
rp_0.3_0.7_3_10_60,96,1981,2,2,0.4344298245614035,0.46366135189118424,41.270833333333336,0.970033716875,K-means
rp_0.3_0.7_3_10_70,138,4177,2,2,0.44187030572305086,0.46974853449263715,60.53623188405797,1.0,Agglomerative
rp_0.3_0.7_3_10_80,52,620,2,2,0.4675716440422323,0.49475819688516215,23.846153846153847,0.884646487663,K-means
rp_0.3_0.7_3_10_90,75,1327,2,2,0.4781981981981982,0.5153571885122156,35.38666666666666,0.943137828033,K-means
rp_0.3_0.7_3_10_100,216,10214,2,2,0.43987941429801897,0.4665917591234312,94.57407407407408,1.0,Agglomerative
rp_0.3_0.7_4_10_20,61,751,2,2,0.4103825136612022,0.4258744349690185,24.62295081967213,0.747593333789,Spectral
rp_0.3_0.7_4_10_30,67,898,2,2,0.40615106286748076,0.43643599120588433,26.80597014925373,0.807325181229,Spectral
rp_0.3_0.7_4_10_40,67,883,2,2,0.399366802351877,0.41357858908401285,26.35820895522388,0.766929815122,Spectral
rp_0.3_0.7_4_10_50,144,4259,2,2,0.41365578865578867,0.43981217036043013,59.15277777777778,0.984079669639,K-means
rp_0.3_0.7_4_10_60,158,4982,2,2,0.4016770136257357,0.42393801720532537,63.063291139240505,0.981116039281,Spectral
rp_0.3_0.7_4_10_70,182,6982,2,2,0.42389654544350674,0.44877776121042223,76.72527472527473,1.0,K-means
rp_0.3_0.7_4_10_80,134,3695,2,2,0.4146560430928066,0.4368788370532549,55.149253731343286,1.0,K-means
